time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-06 00:00:00+00:00,1.0,1.0,68.0,11.0
2024-03-07 00:00:00+00:00,1.0,1.0,5.0,4.0
2024-03-08 00:00:00+00:00,2.0,2.0,14.0,3.0
2024-03-09 00:00:00+00:00,1.0,1.0,9.0,3.0
2024-03-10 00:00:00+00:00,1.0,1.0,16.0,2.0
2024-03-11 00:00:00+00:00,2.0,2.0,73.0,10.0
2024-03-12 00:00:00+00:00,2.0,2.0,14.0,3.0
2024-03-13 00:00:00+00:00,1.0,1.0,23.0,4.0
2024-03-14 00:00:00+00:00,1.0,1.0,5.0,3.0
2024-03-15 00:00:00+00:00,1.0,1.0,4.0,2.0
2024-03-16 00:00:00+00:00,1.0,1.0,,
2024-03-17 00:00:00+00:00,2.0,2.0,3.0,1.0
2024-03-18 00:00:00+00:00,2.0,2.0,15.0,6.0
2024-03-19 00:00:00+00:00,,,54.0,4.0
