time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-17 00:00:00+00:00,2,2,69,7
2024-01-18 00:00:00+00:00,1,1,43,3
2024-01-19 00:00:00+00:00,1,1,37,8
2024-01-20 00:00:00+00:00,2,2,5,3
2024-01-21 00:00:00+00:00,1,1,4,2
2024-01-22 00:00:00+00:00,3,3,10,2
2024-01-23 00:00:00+00:00,2,2,13,3
2024-01-24 00:00:00+00:00,2,2,8,3
2024-01-25 00:00:00+00:00,1,1,2,2
2024-01-26 00:00:00+00:00,21,2,107,2
2024-01-27 00:00:00+00:00,1,1,7,1
2024-01-28 00:00:00+00:00,1,1,7,4
2024-01-29 00:00:00+00:00,4,4,133,4
2024-01-30 00:00:00+00:00,1,1,21,6
