referrer,views_total,views_unique
Bing,30,3
github.com,18,6
pscf.cems.umn.edu,16,2
Google,13,5
mail.google.com,2,2
cn.bing.com,2,1
Yahoo,1,1
books.googleusercontent.com,1,1
