time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-09 00:00:00+00:00,2,2,68.0,4.0
2024-02-10 00:00:00+00:00,2,2,,
2024-02-11 00:00:00+00:00,1,1,,
2024-02-12 00:00:00+00:00,2,2,,
2024-02-13 00:00:00+00:00,1,1,9.0,6.0
2024-02-14 00:00:00+00:00,1,1,54.0,2.0
2024-02-15 00:00:00+00:00,1,1,17.0,2.0
2024-02-16 00:00:00+00:00,2,2,7.0,4.0
2024-02-17 00:00:00+00:00,1,1,8.0,2.0
2024-02-18 00:00:00+00:00,2,2,18.0,1.0
2024-02-19 00:00:00+00:00,3,3,3.0,1.0
2024-02-20 00:00:00+00:00,4,3,99.0,4.0
2024-02-21 00:00:00+00:00,1,1,167.0,6.0
2024-02-22 00:00:00+00:00,10,4,286.0,12.0
