time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-13 00:00:00+00:00,1,1,9,6
2024-02-14 00:00:00+00:00,1,1,54,2
2024-02-15 00:00:00+00:00,1,1,17,2
2024-02-16 00:00:00+00:00,2,2,7,4
2024-02-17 00:00:00+00:00,1,1,8,2
2024-02-18 00:00:00+00:00,2,2,18,1
2024-02-19 00:00:00+00:00,3,3,3,1
2024-02-20 00:00:00+00:00,4,3,99,4
2024-02-21 00:00:00+00:00,1,1,167,6
2024-02-22 00:00:00+00:00,11,5,295,13
2024-02-23 00:00:00+00:00,1,1,266,6
2024-02-24 00:00:00+00:00,2,2,12,4
2024-02-25 00:00:00+00:00,7,3,118,2
2024-02-26 00:00:00+00:00,1,1,82,10
