time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-01 00:00:00+00:00,7,3,1.0,1.0
2025-11-02 00:00:00+00:00,7,5,7.0,5.0
2025-11-03 00:00:00+00:00,41,16,57.0,3.0
2025-11-04 00:00:00+00:00,30,7,16.0,3.0
2025-11-05 00:00:00+00:00,8,5,12.0,2.0
2025-11-06 00:00:00+00:00,65,6,,
2025-11-07 00:00:00+00:00,19,5,143.0,5.0
2025-11-08 00:00:00+00:00,12,7,1.0,1.0
2025-11-09 00:00:00+00:00,9,4,,
2025-11-10 00:00:00+00:00,17,9,28.0,4.0
2025-11-11 00:00:00+00:00,7,6,16.0,4.0
2025-11-12 00:00:00+00:00,22,14,2.0,2.0
2025-11-13 00:00:00+00:00,19,10,4.0,4.0
2025-11-14 00:00:00+00:00,20,8,9.0,2.0
