time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-02 00:00:00+00:00,4.0,3.0,5,3
2024-11-04 00:00:00+00:00,3.0,3.0,12,4
2024-11-05 00:00:00+00:00,,,4,4
2024-11-06 00:00:00+00:00,1.0,1.0,10,2
2024-11-07 00:00:00+00:00,,,14,3
2024-11-08 00:00:00+00:00,,,67,5
2024-11-09 00:00:00+00:00,,,16,3
2024-11-10 00:00:00+00:00,,,51,6
2024-11-11 00:00:00+00:00,,,3,3
2024-11-12 00:00:00+00:00,,,6,3
2024-11-13 00:00:00+00:00,8.0,4.0,22,3
2024-11-14 00:00:00+00:00,6.0,2.0,13,5
2024-11-15 00:00:00+00:00,,,32,1
