time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-16 00:00:00+00:00,26,13,1,1
2026-08-17 00:00:00+00:00,3116,42,3,2
2026-08-18 00:00:00+00:00,3,2,2,2
2026-08-19 00:00:00+00:00,13,7,10,6
2026-08-20 00:00:00+00:00,33,30,9,4
2026-08-21 00:00:00+00:00,5,3,11,6
2026-08-22 00:00:00+00:00,5,4,1,1
2026-08-23 00:00:00+00:00,3,3,0,0
2026-08-24 00:00:00+00:00,94,5,17,8
2026-08-25 00:00:00+00:00,73,34,4,2
2026-08-26 00:00:00+00:00,14,6,8,2
2026-08-27 00:00:00+00:00,8,6,9,4
2026-08-28 00:00:00+00:00,6,3,3,1
2026-08-29 00:00:00+00:00,1,1,3,2
