time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-20 00:00:00+00:00,1,1,6.0,1.0
2025-01-21 00:00:00+00:00,2,1,24.0,4.0
2025-01-22 00:00:00+00:00,3,3,13.0,4.0
2025-01-23 00:00:00+00:00,6,4,53.0,4.0
2025-01-24 00:00:00+00:00,7,2,,
2025-01-26 00:00:00+00:00,1,1,,
2025-01-27 00:00:00+00:00,3,3,18.0,4.0
2025-01-28 00:00:00+00:00,5,2,3.0,2.0
2025-01-29 00:00:00+00:00,1,1,35.0,5.0
2025-01-30 00:00:00+00:00,4,2,5.0,3.0
2025-01-31 00:00:00+00:00,11,4,3.0,2.0
2025-02-01 00:00:00+00:00,5,2,,
2025-02-02 00:00:00+00:00,10,5,2.0,1.0
