time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-10 00:00:00+00:00,6,5,5.0,4.0
2025-10-11 00:00:00+00:00,19,16,23.0,4.0
2025-10-12 00:00:00+00:00,7,7,,
2025-10-13 00:00:00+00:00,8,6,2.0,2.0
2025-10-14 00:00:00+00:00,74,14,8.0,4.0
2025-10-15 00:00:00+00:00,16,5,5.0,5.0
2025-10-16 00:00:00+00:00,10,7,8.0,5.0
2025-10-17 00:00:00+00:00,18,10,13.0,2.0
2025-10-18 00:00:00+00:00,11,9,6.0,6.0
2025-10-19 00:00:00+00:00,3,2,2.0,2.0
2025-10-20 00:00:00+00:00,5,4,42.0,7.0
2025-10-21 00:00:00+00:00,23,11,2.0,2.0
2025-10-22 00:00:00+00:00,16,10,33.0,8.0
2025-10-23 00:00:00+00:00,18,8,5.0,4.0
