time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-06 00:00:00+00:00,4.0,2.0,26.0,4.0
2024-09-07 00:00:00+00:00,4.0,1.0,8.0,4.0
2024-09-08 00:00:00+00:00,,,3.0,1.0
2024-09-09 00:00:00+00:00,1.0,1.0,6.0,5.0
2024-09-10 00:00:00+00:00,,,166.0,8.0
2024-09-11 00:00:00+00:00,7.0,3.0,110.0,4.0
2024-09-12 00:00:00+00:00,,,4.0,2.0
2024-09-13 00:00:00+00:00,4.0,1.0,9.0,4.0
2024-09-14 00:00:00+00:00,1.0,1.0,,
2024-09-16 00:00:00+00:00,3.0,2.0,165.0,7.0
2024-09-17 00:00:00+00:00,,,5.0,2.0
2024-09-18 00:00:00+00:00,,,1.0,1.0
2024-09-19 00:00:00+00:00,1.0,1.0,46.0,4.0
