time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-02 00:00:00+00:00,5,4,8.0,3.0
2025-07-03 00:00:00+00:00,8,7,4.0,1.0
2025-07-04 00:00:00+00:00,7,5,,
2025-07-05 00:00:00+00:00,5,5,,
2025-07-06 00:00:00+00:00,7,7,7.0,3.0
2025-07-07 00:00:00+00:00,9,9,47.0,4.0
2025-07-08 00:00:00+00:00,9,9,16.0,5.0
2025-07-09 00:00:00+00:00,18,15,23.0,7.0
2025-07-10 00:00:00+00:00,3,3,4.0,3.0
2025-07-11 00:00:00+00:00,7,7,39.0,7.0
2025-07-12 00:00:00+00:00,4,4,2.0,1.0
2025-07-13 00:00:00+00:00,7,7,25.0,3.0
2025-07-14 00:00:00+00:00,7,7,44.0,4.0
2025-07-15 00:00:00+00:00,1,1,16.0,1.0
