time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-23 00:00:00+00:00,2,2,13.0,3.0
2024-01-24 00:00:00+00:00,2,2,8.0,3.0
2024-01-25 00:00:00+00:00,1,1,2.0,2.0
2024-01-26 00:00:00+00:00,21,2,107.0,2.0
2024-01-27 00:00:00+00:00,1,1,7.0,1.0
2024-01-28 00:00:00+00:00,1,1,7.0,4.0
2024-01-29 00:00:00+00:00,4,4,133.0,4.0
2024-01-30 00:00:00+00:00,2,2,21.0,6.0
2024-01-31 00:00:00+00:00,2,2,1.0,1.0
2024-02-01 00:00:00+00:00,2,2,,
2024-02-02 00:00:00+00:00,3,2,5.0,1.0
2024-02-03 00:00:00+00:00,2,2,21.0,4.0
2024-02-04 00:00:00+00:00,2,2,20.0,3.0
2024-02-05 00:00:00+00:00,2,2,14.0,5.0
