time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-11 00:00:00+00:00,8,4,,
2025-05-12 00:00:00+00:00,17,5,47.0,3.0
2025-05-13 00:00:00+00:00,5,3,12.0,4.0
2025-05-14 00:00:00+00:00,2,2,49.0,5.0
2025-05-15 00:00:00+00:00,12,6,12.0,3.0
2025-05-16 00:00:00+00:00,20,10,6.0,3.0
2025-05-17 00:00:00+00:00,5,4,,
2025-05-18 00:00:00+00:00,10,6,,
2025-05-19 00:00:00+00:00,8,6,1.0,1.0
2025-05-20 00:00:00+00:00,8,4,,
2025-05-21 00:00:00+00:00,8,4,12.0,5.0
2025-05-22 00:00:00+00:00,4,2,2.0,1.0
2025-05-23 00:00:00+00:00,5,2,6.0,2.0
2025-05-24 00:00:00+00:00,1,1,23.0,4.0
