time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-11 00:00:00+00:00,125,19,52,5
2026-02-12 00:00:00+00:00,26,11,1,1
2026-02-13 00:00:00+00:00,87,12,56,5
2026-02-14 00:00:00+00:00,51,18,7,2
2026-02-15 00:00:00+00:00,109,29,0,0
2026-02-16 00:00:00+00:00,67,31,7,2
2026-02-17 00:00:00+00:00,23,15,11,3
2026-02-18 00:00:00+00:00,69,34,22,5
2026-02-19 00:00:00+00:00,89,15,7,2
2026-02-20 00:00:00+00:00,17,9,3,3
2026-02-21 00:00:00+00:00,16,10,0,0
2026-02-22 00:00:00+00:00,83,29,3,2
2026-02-23 00:00:00+00:00,60,24,3,2
2026-02-24 00:00:00+00:00,47,22,4,3
