time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-08 00:00:00+00:00,5,2,14,2
2023-09-09 00:00:00+00:00,6,2,32,2
2023-09-10 00:00:00+00:00,2,2,7,1
2023-09-11 00:00:00+00:00,4,3,10,1
2023-09-12 00:00:00+00:00,1,1,1,1
2023-09-13 00:00:00+00:00,5,2,9,2
2023-09-14 00:00:00+00:00,19,4,47,5
2023-09-15 00:00:00+00:00,2,2,74,3
2023-09-16 00:00:00+00:00,4,2,18,4
2023-09-17 00:00:00+00:00,12,3,12,2
2023-09-18 00:00:00+00:00,5,5,59,3
2023-09-19 00:00:00+00:00,1,1,47,9
2023-09-20 00:00:00+00:00,12,6,147,8
2023-09-21 00:00:00+00:00,19,6,66,7
