time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-08 00:00:00+00:00,2,2,7.0,4.0
2025-08-09 00:00:00+00:00,1,1,3.0,1.0
2025-08-10 00:00:00+00:00,4,4,17.0,2.0
2025-08-11 00:00:00+00:00,3,2,9.0,4.0
2025-08-12 00:00:00+00:00,7,6,,
2025-08-13 00:00:00+00:00,12,10,1.0,1.0
2025-08-14 00:00:00+00:00,3,2,2.0,2.0
2025-08-15 00:00:00+00:00,24,16,8.0,1.0
2025-08-16 00:00:00+00:00,16,14,,
2025-08-17 00:00:00+00:00,3,3,9.0,2.0
2025-08-18 00:00:00+00:00,3,3,9.0,7.0
2025-08-19 00:00:00+00:00,7,7,2.0,1.0
2025-08-20 00:00:00+00:00,2,2,5.0,3.0
2025-08-21 00:00:00+00:00,2,2,14.0,5.0
