time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-20 00:00:00+00:00,10,6,5.0,2.0
2025-02-21 00:00:00+00:00,20,7,9.0,2.0
2025-02-22 00:00:00+00:00,6,3,24.0,3.0
2025-02-23 00:00:00+00:00,1,1,,
2025-02-24 00:00:00+00:00,2,2,1.0,1.0
2025-02-25 00:00:00+00:00,7,3,6.0,4.0
2025-02-26 00:00:00+00:00,5,3,20.0,3.0
2025-02-27 00:00:00+00:00,12,6,9.0,3.0
2025-02-28 00:00:00+00:00,9,4,46.0,6.0
2025-03-01 00:00:00+00:00,12,6,24.0,4.0
2025-03-02 00:00:00+00:00,12,6,64.0,3.0
2025-03-03 00:00:00+00:00,19,8,37.0,5.0
2025-03-04 00:00:00+00:00,4,3,62.0,6.0
2025-03-05 00:00:00+00:00,1,1,43.0,5.0
