time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-07 00:00:00+00:00,2.0,2.0,67.0,5.0
2024-04-08 00:00:00+00:00,3.0,3.0,10.0,2.0
2024-04-09 00:00:00+00:00,1.0,1.0,93.0,10.0
2024-04-10 00:00:00+00:00,3.0,3.0,8.0,4.0
2024-04-11 00:00:00+00:00,4.0,3.0,37.0,4.0
2024-04-12 00:00:00+00:00,1.0,1.0,,
2024-04-13 00:00:00+00:00,3.0,2.0,6.0,3.0
2024-04-14 00:00:00+00:00,1.0,1.0,1.0,1.0
2024-04-15 00:00:00+00:00,4.0,3.0,,
2024-04-16 00:00:00+00:00,5.0,2.0,101.0,5.0
2024-04-17 00:00:00+00:00,9.0,5.0,33.0,5.0
2024-04-18 00:00:00+00:00,9.0,5.0,29.0,5.0
2024-04-19 00:00:00+00:00,9.0,4.0,14.0,3.0
2024-04-20 00:00:00+00:00,,,30.0,2.0
