time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-16 00:00:00+00:00,4.0,3.0,1,1
2024-10-17 00:00:00+00:00,5.0,3.0,2,2
2024-10-18 00:00:00+00:00,1.0,1.0,10,6
2024-10-19 00:00:00+00:00,3.0,3.0,12,5
2024-10-20 00:00:00+00:00,,,55,4
2024-10-21 00:00:00+00:00,,,5,2
2024-10-22 00:00:00+00:00,1.0,1.0,7,6
2024-10-23 00:00:00+00:00,1.0,1.0,10,5
2024-10-24 00:00:00+00:00,,,8,4
2024-10-25 00:00:00+00:00,2.0,2.0,34,5
2024-10-26 00:00:00+00:00,3.0,1.0,2,1
2024-10-27 00:00:00+00:00,1.0,1.0,1,1
2024-10-28 00:00:00+00:00,5.0,2.0,51,7
2024-10-29 00:00:00+00:00,5.0,4.0,39,8
