time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-29 00:00:00+00:00,6,5,17.0,6.0
2025-07-30 00:00:00+00:00,3,2,5.0,1.0
2025-07-31 00:00:00+00:00,3,3,3.0,2.0
2025-08-01 00:00:00+00:00,6,6,16.0,4.0
2025-08-02 00:00:00+00:00,3,3,3.0,3.0
2025-08-03 00:00:00+00:00,3,3,,
2025-08-04 00:00:00+00:00,1,1,,
2025-08-05 00:00:00+00:00,2,2,3.0,3.0
2025-08-06 00:00:00+00:00,5,5,2.0,1.0
2025-08-07 00:00:00+00:00,3,3,19.0,4.0
2025-08-08 00:00:00+00:00,2,2,7.0,4.0
2025-08-09 00:00:00+00:00,1,1,3.0,1.0
2025-08-10 00:00:00+00:00,4,4,17.0,2.0
2025-08-11 00:00:00+00:00,2,1,9.0,4.0
