time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-22 00:00:00+00:00,16,10,33,8
2025-10-23 00:00:00+00:00,20,9,5,4
2025-10-24 00:00:00+00:00,22,12,3,3
2025-10-25 00:00:00+00:00,10,5,1,1
2025-10-26 00:00:00+00:00,5,3,33,2
2025-10-27 00:00:00+00:00,4,4,7,3
2025-10-28 00:00:00+00:00,21,8,2,2
2025-10-29 00:00:00+00:00,17,13,5,5
2025-10-30 00:00:00+00:00,8,6,7,1
2025-10-31 00:00:00+00:00,11,7,4,3
2025-11-01 00:00:00+00:00,7,3,1,1
2025-11-02 00:00:00+00:00,7,5,7,5
2025-11-03 00:00:00+00:00,41,16,57,3
2025-11-04 00:00:00+00:00,24,4,16,3
