time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-04 00:00:00+00:00,2,2,77.0,7.0
2024-03-05 00:00:00+00:00,2,2,75.0,5.0
2024-03-06 00:00:00+00:00,1,1,68.0,11.0
2024-03-07 00:00:00+00:00,1,1,5.0,4.0
2024-03-08 00:00:00+00:00,2,2,14.0,3.0
2024-03-09 00:00:00+00:00,1,1,9.0,3.0
2024-03-10 00:00:00+00:00,1,1,16.0,2.0
2024-03-11 00:00:00+00:00,2,2,73.0,10.0
2024-03-12 00:00:00+00:00,2,2,14.0,3.0
2024-03-13 00:00:00+00:00,1,1,23.0,4.0
2024-03-14 00:00:00+00:00,1,1,5.0,3.0
2024-03-15 00:00:00+00:00,1,1,4.0,2.0
2024-03-16 00:00:00+00:00,1,1,,
2024-03-17 00:00:00+00:00,1,1,3.0,1.0
