time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-12 00:00:00+00:00,1,1,3,2
2023-10-13 00:00:00+00:00,1,1,4,2
2023-10-14 00:00:00+00:00,1,1,353,3
2023-10-15 00:00:00+00:00,12,3,36,3
2023-10-16 00:00:00+00:00,8,4,17,3
2023-10-17 00:00:00+00:00,7,4,65,3
2023-10-18 00:00:00+00:00,2,2,29,9
2023-10-19 00:00:00+00:00,4,3,8,3
2023-10-20 00:00:00+00:00,3,3,7,2
2023-10-21 00:00:00+00:00,1,1,9,1
2023-10-22 00:00:00+00:00,1,1,5,4
2023-10-23 00:00:00+00:00,2,2,28,1
2023-10-24 00:00:00+00:00,1,1,39,2
2023-10-25 00:00:00+00:00,1,1,11,6
