time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-01 00:00:00+00:00,2.0,1.0,47,3
2024-12-02 00:00:00+00:00,2.0,2.0,5,3
2024-12-03 00:00:00+00:00,3.0,1.0,4,3
2024-12-04 00:00:00+00:00,1.0,1.0,31,2
2024-12-05 00:00:00+00:00,1.0,1.0,3,3
2024-12-06 00:00:00+00:00,8.0,3.0,17,3
2024-12-07 00:00:00+00:00,1.0,1.0,2,2
2024-12-08 00:00:00+00:00,3.0,1.0,1,1
2024-12-09 00:00:00+00:00,1.0,1.0,8,3
2024-12-10 00:00:00+00:00,1.0,1.0,3,3
2024-12-11 00:00:00+00:00,5.0,3.0,25,7
2024-12-12 00:00:00+00:00,6.0,3.0,11,5
2024-12-13 00:00:00+00:00,1.0,1.0,6,4
2024-12-14 00:00:00+00:00,,,1,1
