time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-24 00:00:00+00:00,11,7,24,6
2026-01-25 00:00:00+00:00,40,15,18,2
2026-01-26 00:00:00+00:00,11,10,67,7
2026-01-27 00:00:00+00:00,24,13,3,3
2026-01-28 00:00:00+00:00,14,8,2,1
2026-01-29 00:00:00+00:00,12,6,1,1
2026-01-30 00:00:00+00:00,20,11,2,2
2026-01-31 00:00:00+00:00,27,19,1,1
2026-02-01 00:00:00+00:00,53,21,5,3
2026-02-02 00:00:00+00:00,28,14,51,3
2026-02-03 00:00:00+00:00,7,7,15,1
2026-02-04 00:00:00+00:00,37,15,12,5
2026-02-05 00:00:00+00:00,9,7,32,4
2026-02-06 00:00:00+00:00,20,7,9,4
