time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-03 00:00:00+00:00,2,2,,
2024-05-04 00:00:00+00:00,1,1,1.0,1.0
2024-05-05 00:00:00+00:00,1,1,2.0,2.0
2024-05-06 00:00:00+00:00,7,4,1.0,1.0
2024-05-07 00:00:00+00:00,1,1,14.0,1.0
2024-05-08 00:00:00+00:00,5,2,24.0,5.0
2024-05-09 00:00:00+00:00,5,2,37.0,6.0
2024-05-10 00:00:00+00:00,1,1,7.0,2.0
2024-05-11 00:00:00+00:00,1,1,1.0,1.0
2024-05-12 00:00:00+00:00,1,1,20.0,2.0
2024-05-13 00:00:00+00:00,9,3,29.0,5.0
2024-05-14 00:00:00+00:00,5,2,13.0,3.0
2024-05-15 00:00:00+00:00,1,1,53.0,6.0
2024-05-16 00:00:00+00:00,16,6,16.0,3.0
